"Date","AirCraft_Type","AirCraft_Regn","AirCraft_FltNo","From","To","Total_Payload_kg","Distance_Flown_km","Hours_Flown","Fuel_Burn_kg_Payload","Fuel_Burn_kg_Time"
"5/31/2021","C208","5Y-ESU","MAF 1","WILSON","LOKICHOGGIO",716,685,2.5,196.184,550
"6/1/2021","C208","5Y-ESU","MAF 1","JUBA","MUNDRI",1116,148,0.7,66.0672,154
"6/1/2021","C208","5Y-ESU","MAF 1","MUNDRI","JUBA",1180,148,0.7,69.856,154
"6/1/2021","C208","5Y-ESU","MAF 1","JUBA","IBBA",832,270,1.1,89.856,242
"6/1/2021","C208","5Y-ESU","MAF 1","IBBA","YAMBIO",833,85,0.4,28.322,88
"6/1/2021","C208","5Y-ESU","MAF 1","YAMBIO","TAMBURA",970,156,0.6,60.528,132
"6/1/2021","C208","5Y-ESU","MAF 1","TAMBURA","JUBA",1042,463,1.8,192.9784,396
"6/3/2021","C208","5Y-ESU","MAF 1","JUBA","YEI",1026,126,0.6,51.7104,132
"6/3/2021","C208","5Y-ESU","MAF 1","YEI","KAJOKEJI",1142,107,0.5,48.8776,110
"6/3/2021","C208","5Y-ESU","MAF 1","KAJOKEJI","NIMULE",922,56,0.3,20.6528,66
"6/3/2021","C208","5Y-ESU","MAF 1","NIMULE","JUBA",1037,152,0.6,63.0496,132
"6/3/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",1037,120,0.5,49.776,110
"6/3/2021","C208","5Y-ESU","MAF 1","TORIT","KAPOETA",1132,119,0.5,53.8832,110
"6/3/2021","C208","5Y-ESU","MAF 1","KAPOETA","CHUKUDUM",1218,65,0.4,31.668,88
"6/3/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","JUBA",933,222,0.9,82.8504,198
"6/4/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",660,120,0.6,31.68,132
"6/4/2021","C208","5Y-ESU","MAF 1","TORIT","OHILANG",768,37,0.2,11.3664,44
"6/4/2021","C208","5Y-ESU","MAF 1","OHILANG","CHUKUDUM",618,95,0.4,23.484,88
"6/4/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","KIMATONG",365,61,0.3,8.906,66
"6/4/2021","C208","5Y-ESU","MAF 1","KIMATONG","TORIT",280,80,0.4,8.96,88
"6/4/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA",598,120,0.5,28.704,110
"6/7/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",682,120,0.5,32.736,110
"6/7/2021","C208","5Y-ESU","MAF 1","TORIT","CHUKUDUM",781,104,0.5,32.4896,110
"6/7/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","KAPOETA",532,65,0.3,13.832,66
"6/7/2021","C208","5Y-ESU","MAF 1","KAPOETA","LOKICHOGGIO",917,106,0.5,38.8808,110
"6/7/2021","C208","5Y-ESU","MAF 1","LOKICHOGGIO","WILSON",1015,685,2.5,278.11,550
"6/9/2021","C208","5Y-ESU","MAF 1","WILSON","ENTEBBE",904,531,1.9,192.0096,418
"6/9/2021","C208","5Y-ESU","MAF 1","ENTEBBE","KAJANSI",1136,20,0.1,9.088,22
"6/10/2021","C208","5Y-ESU","MAF 1","KAJANSI","ENTEBBE",1101,20,0.2,8.808,44
"6/10/2021","C208","5Y-ESU","MAF 1","ENTEBBE","MWANZA",1126,405,1.5,182.412,330
"6/14/2021","C208","5Y-ESU","MAF 1","MWANZA","ENTEBBE",885,405,1.5,143.37,330
"6/14/2021","C208","5Y-ESU","MAF 1","ENTEBBE","KAJANSI",989,20,0.2,7.912,44
"6/14/2021","C208","5Y-ESU","MAF 1","KAJANSI","ENTEBBE",1004,20,0.2,8.032,44
"6/14/2021","C208","5Y-ESU","MAF 1","ENTEBBE","WILSON",1040,533,2,221.728,440
"6/15/2021","C208","5Y-ESU","MAF 1","WILSON","JUBA",1009,904,3.2,364.8544,704
"6/16/2021","C208","5Y-ESU","MAF 1","JUBA","RUBKONA",1129,530,2,239.348,440
"6/16/2021","C208","5Y-ESU","MAF 1","RUBKONA","YIDA",1268,96,0.4,48.6912,88
"6/16/2021","C208","5Y-ESU","MAF 1","YIDA","RUBKONA",1336,96,0.4,51.3024,88
